"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CCOU","2018",,"1837","1837",,,,,,"         0","         9","         0","       206","        79",,,,"28",,,,"108",,,,,,,"31","28",,,,"2623",,,,"2623",,,,,,,,,,,,,,,,,,,,,"62.9","72.9","53.0",,,,,,,,,,,,
"USC00043157","2018",,"445","445","        88","        49","         0",,,"         1","       160","        11","       144","        31",,,,"0",,,"0.84","100",,"29","26","24","19","16","31","28","21","16","16","6085",,,,"6085",,,,,,,,,,,,,,,,,,"16.72",,,"49.2","62.4","36.0",,,,,,,,,,,,
"USR0000CLAB","2018",,"1927","1927",,,,,,"         0","         0","         0","       229","        79",,,,"36",,,,"105",,,,,,,,,,,,"1718",,,,"1718",,,,,,,,,,,,,,,,,,,,,"65.5","76.0","55.0",,,,,,,,,,,,
"USC00048606","2018",,"445","445","        70","        55","        22","       32","        17","         0","        90","         1","       175","        24",,,,"14","30","16.0","5.05","96",,"30","26","23",,,"31","28","23","20","14","4513",,,,"4513",,,,,,,,,,,,,,,,,,"65.05",,"76.9","53.7","67.2","40.2",,,,,,,,,,,,
"USR0000CCP9","2018",,"1284","1284",,,,,,"         0","        13","         0","       164","        16",,,,"27",,,,"103",,"32",,,,,"32","27",,,,"2608",,,,"2608",,,,,,,,,,,,,,,,,,,,,"60.8","67.6","54.0",,,,,,,,,,,,
"USR0000CPIE","2018",,"376","376",,,,,,"         0","       117","        18","       113","         3",,,,"7",,,,"92",,"31","28","23","20","14","30","25","18","18","15","5854",,,,"5854",,,,,,,,,,,,,,,,,,,,,"49.5","60.3","38.8",,,,,,,,,,,,
"US1CAFR0026","2018",,,,"        51","        27","         3",,,,,,,,,,,,,,"1.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.77",,,,,,,,,,,,,,,,,
"USR0000CCON","2018",,"501","501",,,,,,"         0","        72","         1","       170","        10",,,,"12",,,,"96",,"32","26","24",,,"32","26","22","17","12","3805",,,,"3805",,,,,,,,,,,,,,,,,,,,,"55.0","68.1","42.0",,,,,,,,,,,,
"USR0000CCOL","2018",,"461","461",,,,,,"         0","       113","        27","       106","         1",,,,"12",,,,"90",,"32","27","20","20",,"29","28","23","17","16","6137",,,,"6137",,,,,,,,,,,,,,,,,,,,,"49.3","57.4","41.2",,,,,,,,,,,,
"US1CASH0071","2018",,,,"        63","        44","         5",,,,,,,,,,,,,,"2.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.24",,,,,,,,,,,,,,,,,
"USC00044484","2018",,,,"        52","        41","        11","        0","         0",,,,,,,,,,"0","0.5","2.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.56",,"0.5",,,,,,,,,,,,,,,
"USC00046663","2018",,,,"        24","        15","         3",,,,,,,,,,,,,,"1.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.91",,,,,,,,,,,,,,,,,
"USR0000CCOR","2018",,"190","190",,,,,,"         0","         8","         0","       221","        13",,,,"28",,,,"101",,,,,,,"32","28",,,,"2276",,,,"2276",,,,,,,,,,,,,,,,,,,,,"59.0","72.5","45.5",,,,,,,,,,,,
"USR0000CCOO","2018",,"542","542",,,,,,"         0","        36","         3","       102","         7",,,,"23",,,,"92",,"31",,,,,"32","28","23",,,"4668",,,,"4668",,,,,,,,,,,,,,,,,,,,,"53.4","60.5","46.4",,,,,,,,,,,,
"USW00023174","2018","7.4","1019","1019","        25","        13","         3",,,"         0","         0","         0","       226","         4","       125","        22","         3","40",,,"1.49","94",,,,,,,,,,,,"843",,,,"843",,,,,,,,,,,,,,,,,,"7.80",,,"65.2","72.2","58.3",,,"       260","       270",,,,,"36.9","44.1",,
"USR0000CCOH","2018",,"2274","2274",,,,,,"         0","         2","         0","       216","        79",,,,"30",,,,"105",,,,,,,"30",,,,,"2247",,,,"2247",,,,,,,,,,,,,,,,,,,,,"65.3","73.7","56.9",,,,,,,,,,,,
"USR0000CPHI","2018",,"1103","1103",,,,,,"         0","        19","         0","       196","        33",,,,"22",,,,"101",,"32",,,,,"31","28","22",,,"2549",,,,"2549",,,,,,,,,,,,,,,,,,,,,"60.3","71.5","49.2",,,,,,,,,,,,
"US1CAAM0009","2018",,,,"        66","        47","        13",,,,,,,,,,,,,,"2.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.95",,,,,,,,,,,,,,,,,
"USS0019L40S","2018",,"23","23","        65","        65","         6","      161",,"         1","       140","        29","        78","         0",,,,"-1","65",,"2.30","82",,"31","27","24","18","11","31","26","23","11","11","7416",,,,"7416",,,,,,,,,,,,,,,,,,"24.37",,,"44.3","54.3","34.2",,,,,,,,,,,,
"USW00023179","2018","8.3","5539","5539","        17","         9","         0",,,"         0","         0","         0","       314","       186","         3","         1","        18","34",,,"0.61","123",,,,,,,,,,,,"577",,,,"577",,,,,,,,,,,,,,,,,,"2.97",,,"78.2","90.1","66.2",,,"        20","       220",,,,,"42.9","50.1",,
"USC00046657","2018",,"1036","1036","        29","        23","         8",,,"         0","        35","         1","       152","        13","        15",,,"19",,,"3.80","96",,"29","26","24",,,"32","27","24","19",,"3006",,,,"3006",,,,,,,,,,,,,,,,,,"22.25",,,"58.2","67.0","49.4",,,,,,,,,,,,
"US1CASH0069","2018",,,,"        74","        57","         9",,,,,,,,,,,,,,"3.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40.11",,,,,,,,,,,,,,,,,
"US1CASH0068","2018",,,,"        70","        42","         8",,,,,,,,,,,,,,"3.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.96",,,,,,,,,,,,,,,,,
"US1CANP0003","2018",,,,"        65","        42","         5",,,,,,,,,,,,,,"2.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.58",,,,,,,,,,,,,,,,,
"USC00042294","2018",,"1204","1204","        65","        27","         2","        0","         0","         0","        15","         0","       230","        79",,,,"28","0","0.0","2.70","104","81.4","31",,,,,"31","28",,,,"2326","83","84","84","2326","93","89","85","41","43","48","47","47","49","63","65","66","52","70","68","68","76","15.77",,"0.0","62.1","76.0","48.1",,,,,,,,,,,,
"USC00047741","2018",,,,"        25","        14","         1",,,,,,,,,,,,,,"1.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.07",,,,,,,,,,,,,,,,,
"USW00023161","2018","10.7","3463","3463","        16","         8","         0",,,"         0","        21","         0","       261","       149","        14",,"        15","24",,,"0.33","114",,"31","25",,,,"32","24",,,,"1686",,,,"1686",,,,,,,,,,,,,,,,,,"1.74",,,"69.4","83.6","55.1",,,"       240","       230",,,,,"49.0","59.1",,
"USW00024259","2018","6.0","678","678","        78","        33","         0",,,"         0","       148","         0","       173","        63","        89","        30","        14","11",,,"0.82","103",,"32","23","23","13","13","31","26","20","19","15",,,,,,,,,,,,,,,,,,,,,,,"10.13",,,"53.0","68.8","37.2",,,"       170","       150",,,,,"49.0","94.0",,
"USW00024257","2018","5.4","2129","2129","        66","        44","         6","        0","         0","         0","        24","         0","       234","       111","        74","         9","        11","25","0","0.0","2.60","113",,"31",,,,,"29","27",,,,"2370",,,,"2370",,,,,,,,,,,,,,,,,,"25.43",,"0.0","64.5","78.2","50.7",,,"       180","       170",,,,,"38.9","49.0",,
"US1CAMD0001","2018",,,,"        92","        64","        12",,,,,,,,,,,,,,"2.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.41",,,,,,,,,,,,,,,,,
"USC00043134","2018",,,,,,,"        6","         5",,,,,,,,,,"5","5.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.5",,,,,,,,,,,,,,,
"USC00044223","2018",,"4204","4204","        16","         5","         0","        0","         0","         0","         0","         0","       330","       168",,,,"36","0","0.0","0.68","115",,,,,,,,,,,,"624",,,,"624",,,,,,,,,,,,,,,,,,"2.33",,"0.0","74.2","87.7","60.8",,,,,,,,,,,,
"USR0000CROD","2018",,"799","799",,,,,,"         0","        44","         0","       185","        51",,,,"25",,,,"103",,"31",,,,,"31","27",,,,"3762",,,,"3762",,,,,,,,,,,,,,,,,,,,,"57.1","69.3","44.8",,,,,,,,,,,,
"US1CASH0051","2018",,,,"        71","        48","        10",,,,,,,,,,,,,,"2.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.83",,,,,,,,,,,,,,,,,
"USC00041194","2018",,"1481","1481","        26","        17","         3",,,"         0","         0","         0","       304","        50",,,,"33",,,"1.55","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.72",,,"66.2","78.9","53.5",,,,,,,,,,,,
"USR0000CROC","2018",,"292","292",,,,,,"         0","       179","        11","       143","         8",,,,"3",,,,"92",,"28","28","24","13","13","29","24","24","19","13","6035",,,,"6035",,,,,,,,,,,,,,,,,,,,,"48.6","63.5","33.6",,,,,,,,,,,,
"USC00045795","2018",,"14","14","        67","        36","         5",,,"         0","         0","         0","        96","         0",,,,"35",,,"1.45","83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.80",,,"57.6","65.6","49.5",,,,,,,,,,,,
"USW00003102","2018","6.3","2103","2103","        24","        15","         3",,,"         0","         1","         0","       286","        96","       113","         2","         5","29",,,"1.58","117",,,,,,,"29",,,,,"882",,,,"882",,,,,,,,,,,,,,,,,,"8.11",,,"67.8","80.4","55.1",,,"        50","       210",,,,,"46.1","69.1",,
"USS0019L42S","2018","3.1","9","9","        73","        73","         5","      170",,"         2","       170","        42","        37","         0",,,,"-4","72",,"2.40","80",,"32","26","22","20","16","29","26","21","18","9","8350",,,,"8350",,,,,,,,,,,,,,,,,,"26.47",,,"41.7","50.6","32.9",,,,,,,,,,,,
"USW00024283","2018","5.6","0","0","       109","        72","         7",,,"         0","         9","         0","        17","         0","       233","        78","         6","27",,,"1.73","77",,"31",,,,,"30","27",,,,"4227",,,,"4227",,,,,,,,,,,,,,,,,,"39.64",,,"52.8","60.6","45.0",,,"       180","       330",,,,,"38.9","59.1",,
